search_term,current_rank,last_rank,trend
turmeric supplement,1720,1852,up
turmeric,2458,2445,down
turmeric curcumin supplement,2480,2616,up
turmeric powder,8040,7190,down
turmeric soap,8288,6787,down
turmeric soap for dark spots,9260,8461,down
turmeric powder organic,13023,11842,down
turmeric and ginger supplement,19980,18556,down
turmeric soap bar,25223,23253,down
qunol turmeric,29460,36438,up
kojic acid and turmeric soap,29932,23976,down
turmeric with black pepper,31844,43754,up
turmeric face wash,32778,27795,down
medicube turmeric,34781,43454,up
medicube kojic acid turmeric,36409,31368,down
organic turmeric powder,37627,35079,down
bioroot labs turmeric curcumin supplement,42465,101055,up
turmeric root,52314,48527,down
turmeric gummies,52581,52121,down
turmeric curcumin,57316,66648,up
